"total","|","id","title","year","mpaa_rating","runtime","critics_consensus","release_dates__theater","release_dates__dvd","ratings__critics_rating","ratings__critics_score","ratings__audience_rating","ratings__audience_score","synopsis","posters__thumbnail","posters__profile","posters__detailed","posters__original","abridged_cast__name","abridged_cast__id","abridged_cast__characters-","alternate_ids__imdb","links__self","links__alternate","links__cast","links__reviews","links__similar","link_template","self","alternate"
"50","movies","771380953","Nightcrawler","2014","R","117","","2014-10-31","2015-02-10","Certified Fresh","95","Upright","86","NIGHTCRAWLER is a pulse-pounding thriller set in the nocturnal underbelly of contemporary Los Angeles. Jake Gyllenhaal stars as Lou Bloom, a driven young man desperate for work who discovers the high-speed world of L.A. crime journalism. Finding a group of freelance camera crews who film crashes, fires, murder and other mayhem, Lou muscles into the cut-throat, dangerous realm of nightcrawling -- where each police siren wail equals a possible windfall and victims are converted into dollars and cents. Aided by Rene Russo as Nina, a veteran of the blood-sport that is local TV news, Lou thrives. In the breakneck, ceaseless search for footage, he becomes the star of his own story. (c) Open Road","http://resizing.flixster.com/MiQ5Cc0DvU4eqkVpigJZA57WDu8=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/94/11189473_ori.jpg","http://resizing.flixster.com/MiQ5Cc0DvU4eqkVpigJZA57WDu8=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/94/11189473_ori.jpg","http://resizing.flixster.com/MiQ5Cc0DvU4eqkVpigJZA57WDu8=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/94/11189473_ori.jpg","http://resizing.flixster.com/MiQ5Cc0DvU4eqkVpigJZA57WDu8=/54x81/dkpu1ddg7pbsk.cloudfront.net/movie/11/18/94/11189473_ori.jpg","Jake Gyllenhaal","162653968","Lou Bloom","2872718","http://api.rottentomatoes.com/api/public/v1.0/movies/771380953.json","http://www.rottentomatoes.com/m/nightcrawler/","http://api.rottentomatoes.com/api/public/v1.0/movies/771380953/cast.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771380953/reviews.json","http://api.rottentomatoes.com/api/public/v1.0/movies/771380953/similar.json","http://api.rottentomatoes.com/api/public/v1.0/lists/dvds/current_releases.json?page_limit={results-per-page}&page={page-number}&country={country-code}","",""
"","","","","","","","","","","","","","","","","","","","Rene Russo","162654462","Nina","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Bill Paxton","162654226","Joe Loder","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Riz Ahmed","326396057","Rick","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Michael Papajohn","770680315","Security Guard","","","","","","","","",""
"","","770909937","Alexander and the Terrible, Horrible, No Good, Very Bad Day","2014","PG","80","","2014-10-10","2015-02-10","Fresh","62","Upright","60","Disney's ""Alexander and the Terrible, Horrible, No Good, Very Bad Day""follows the exploits of 11-year-old Alexander (Ed Oxenbould) as he experiences the most terrible and horrible day of his young life-a day that begins with gum stuck in his hair, followed by one calamity after another. But when Alexander tells his upbeat family about the misadventures of his disastrous day, he finds little sympathy and begins to wonder if bad things only happen to him. He soon learns that he's not alone when his mom (Jennifer Garner), dad (Steve Carell), brother (Dylan Minnette) and sister (Kerris Dorsey) all find themselves living through their own terrible, horrible, no good, very bad day. Anyone who says there is no such thing as a bad day just hasn't had one. (c) Disney","http://resizing.flixster.com/brnEH50DBb9XHrAeC5zpbiJR8h8=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/79/11177948_ori.jpg","http://resizing.flixster.com/brnEH50DBb9XHrAeC5zpbiJR8h8=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/79/11177948_ori.jpg","http://resizing.flixster.com/brnEH50DBb9XHrAeC5zpbiJR8h8=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/79/11177948_ori.jpg","http://resizing.flixster.com/brnEH50DBb9XHrAeC5zpbiJR8h8=/54x80/dkpu1ddg7pbsk.cloudfront.net/movie/11/17/79/11177948_ori.jpg","Steve Carell","162652665","","1698641","http://api.rottentomatoes.com/api/public/v1.0/movies/770909937.json","http://www.rottentomatoes.com/m/alexander_and_the_terrible_horrible_no_good_very_bad_day/","http://api.rottentomatoes.com/api/public/v1.0/movies/770909937/cast.json","http://api.rottentomatoes.com/api/public/v1.0/movies/770909937/reviews.json","http://api.rottentomatoes.com/api/public/v1.0/movies/770909937/similar.json","","",""
"","","","","","","","","","","","","","","","","","","","Jennifer Garner","162660749","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Dylan Minnette","770808601","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Ed Oxenbould","771476553","Alexander","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Kerris Dorsey","770791268","","","","","","","","","",""
