"Think Like a Man Too","PG-13",61,23
"The Adventures of Tintin","PG",74,75
"Around the World in 80 Days","PG",34,31
"Anastasia","G",77,86
"Atlantis - The Lost Empire","PG",51,49
"Analyze This","R",62,69
"A Walk Among the Tombstones","R",54,65
"O Brother, Where Art Thou?","PG-13",89,77
"That Awkward Moment","R",47,23
"The Secret World of Arrietty","G",85,95
"Addams Family Values","PG-13",62,78
"Jay and Silent Bob Strike Back","R",75,53
"Charlie's Angels","PG-13",45,67
"Alice in Wonderland","G",78,79
"Dog Day Afternoon","R",90,97
"Amadeus","R",95,95
"So I Married an Axe Murderer","PG-13",68,52
"Airplane!","PG",89,96
"A Nightmare on Elm Street 3 - Dream Warriors","R",67,74
"Lars and the Real Girl","PG-13",84,81
"Annapolis","PG-13",61,10
"About Last Night","R",66,68
"Capitalism: A Love Story","R",73,75
"Air Force One","R",66,79
"August: Osage County","R",66,64
"Away From Her","PG-13",81,94
"American Dreamz","PG-13",31,41
"The American","R",38,66
"Garfield: A Tail of Two Kitties","PG",44,11
"Jet Li's Fearless (Huo Yuan Jia) (Legend of a Fighter)","PG-13",86,73
"The Devil's Advocate","R",80,66
"Stay Alive","PG-13",55,9
"Along Came a Spider","R",54,32
"Gnomeo and Juliet","G",55,55
"It's a Wonderful Life","PG",96,94
"She's All That","PG-13",55,38
"A Knight's Tale","PG-13",79,58
"Chasing Amy","R",83,88
"A Good Year","PG-13",65,25
"An American Haunting","PG-13",36,12
"Angel-A","R",74,44
"Million Dollar Arm","PG",70,62
"S. Darko: A Donnie Darko Tale","R",18,0
"Analyze That","R",39,27
"Apollo 18","PG-13",23,24
"Begin Again","R",81,83
"A Fish Called Wanda","R",85,93
"Little Ashes","R",48,24
"Dazed and Confused","R",90,94
"Admission","PG-13",33,38
"Step Up: All In","PG-13",58,43
"Annie Hall","PG",93,98
"You Again","PG",43,17
"A Nightmare on Elm Street 4 - The Dream Master","R",44,56
"Temptation","PG-13",66,15
"A Very Harold & Kumar Christmas","R",59,68
